X1,X2,Date,Class,NH4,HCO3,Alkalinity,pH,Ions,Hg,Cd,Co,Cr,Cu,Fe,Mn,Ni,Pb,Zn,SO4,Cl,NO3,NO2,PO4,Mineraliz,Ca,Mg,Na,K
55.403446,37.268954,12/8/16,1,0.02,175,2.87,7.3,4.0,0.0,0.0,0.0,0.003769231,0.0,0.166302564,0.0,0.0,0.0,0.023873504,21.4971,40.8446,6.5159,0.0,0.0,244,61.0,12.0,14.0,1.0
55.426626,37.28595900000001,12/8/16,1,0.02,254,4.17,7.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042594872,49.8611,32.9837,49.7156,0.0,0.0,377,75.93908629,21.52791878,19.9225,0.0
55.422452,37.28540200000001,12/8/16,2,0.04,114,1.87,6.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.005284615,0.012189744,0.0,0.007102564,91.4777,45.5082,39.5716,0.0,0.0399,330,64.56852792,14.89340102,14.30833333,2.946700508
55.500661,37.450899,12/9/16,2,0.01,120,1.97,6.5,3.8,0.0,0.0,0.0,0.0,0.0,0.117810256,0.0,0.0,0.0,0.0070461540000000015,55.4027,29.8648,42.0557,0.0,0.6383,276,60.07614213,9.289340102,17.42833333,1.634517766
55.460301,37.37821,12/9/16,1,0.09,361,5.92,7.3,6.6,0.0,0.0,0.0,0.0,0.005666666999999999,0.0,0.230305128,0.0,0.0,0.040246154,49.6423,29.4491,45.756,0.0,0.3999,460,88.88324873,26.20812183,34.265,5.6598984770000005
55.464962,37.353899,12/9/16,1,0.2,431,7.07,7.4,8.1,0.0,0.0,0.0,0.0,0.008989744000000001,0.0,0.032151282,0.0,0.0,0.312215385,92.3549,58.4404,53.0473,0.0,3.0419,640,109.7969543,31.69035533,50.94,27.67766497
55.458048,37.348838,12/9/16,1,0.02,309,5.07,7.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0073948719999999985,0.0,0.0,0.022529915,35.6459,16.6534,34.3783,0.0,1.168,369,77.46192893,21.89847716,14.475,13.44670051
55.392476,37.23131400000001,12/9/16,1,0.03,209,3.43,7.9,5.9,0.0,0.0,0.0,0.0,0.007374359,0.067092308,0.0,0.0,0.0,0.063794872,38.3137,132.6232,19.1099,0.0,1.2115,452,83.93401015,21.21319797,46.9325,5.672588832000001
55.259588,37.095482,12/9/16,1,0.05,109,1.79,6.7,4.0,0.0,0.0,0.0,0.0,0.0,0.500712821,0.052579487,0.0,0.0,0.049838462,53.9646,56.4497,31.3324,0.3502,0.5119,289,56.09137056,14.40609137,21.8575,0.0
55.221123,36.994972,12/9/16,1,0.32,328,5.37,7.5,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.010953846,0.0,0.0,0.027355556,26.0386,648.2108641,6.4653,0.0,0.2314,1337,203.4517766,39.44162437,245.0,4.16751269
55.250039,37.04614,12/9/16,1,0.1,314,5.14,7.2,5.3,0.0,0.0,0.0,0.0,0.0,0.119958974,0.036120513,0.0,0.0,0.044664103,43.8577,12.9011,0.2935,0.0,0.304,331,82.46192893,14.8680203,17.475,2.634517766
55.17084200000001,37.072914,12/9/16,2,0.09,312,5.11,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.028025641,0.0,0.0,0.012328205,20.7437,4.6437,13.2883,0.0,0.7602,305,69.06091371,19.64467005,8.8,12.62690355
55.16937,37.086429,12/9/16,1,0.06,311,5.1,7.5,5.0,0.0,0.0,0.0,0.0,0.0,0.077410256,0.004833333,0.0,0.0,0.066574359,14.5861,2.05,4.2421,0.0,0.2402,272,68.24873096,19.7106599,6.62,1.4467005080000002
55.259149,37.173343,12/9/16,2,0.09,347,5.69,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8901,15.9502,19.2657,0.0,0.3341,344,87.41116751,19.36040609,9.311666667,1.431472081
55.237072,37.036207,12/9/16,1,0.13,128,2.1,8.1,2.1,0.0,0.0,0.0,0.0,0.0,0.96404359,0.002825641,0.0,0.0,0.091635897,11.1835,5.9865,1.2899,0.0,0.3671,134,35.12690355,4.027072758,7.655,4.680203046
55.239059,37.008466,12/9/16,1,0.0,408,6.69,7.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.008435897,0.0,0.0,0.010210256,17.7983,54.0644,0.3611,0.0,0.097,429,99.26395939,23.75126904,21.015,9.147208122
55.228056,37.089364,12/9/16,2,0.1,88,1.44,6.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007733333,42.424,23.275,35.3027,0.0,1.9889,220,37.10659898,9.95177665,16.88333333,10.8680203
55.231612,36.964466,12/9/16,1,3.0,204,3.34,7.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.003179487,0.0,0.0,0.01994359,42.95,15.1581,23.7741,0.0,1.592,288,76.59898477,17.29949239,10.16333333,0.0
55.494119,37.139097,12/9/16,1,0.0,281,4.61,7.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.004082051,0.0,0.0,0.016466667,24.0791,30.8374,30.2273,0.0,0.5334,340,78.27411168,20.01015228,14.165,1.45177665
55.53866800000001,37.147624,12/9/16,1,0.13,433,7.1,7.3,9.1,0.0,0.0,0.0,0.0,0.006723076999999999,0.0,0.007633333000000002,0.0,0.0,0.250602564,50.9085,48.6796,102.0707,0.0,0.1422,638,132.6903553,29.8071066,42.615,14.43147208
55.52909,37.13024,12/9/16,1,0.07,436,7.15,7.6,8.3,0.0,0.0,0.0,0.0,0.0,0.098523077,0.010817949,0.0,0.0,0.947210256,39.2186,89.4804,9.0379,0.0,0.4027,535,118.8324873,28.65482234,28.97,2.83248731
55.525955,37.150556,12/9/16,1,0.07,443,7.26,7.7,7.9,0.0,0.0,0.0,0.0,0.0,0.429646154,0.104366667,0.0,0.0,0.328087179,50.0057,24.0936,0.3,0.093,0.1407,458,107.5126904,30.84263959,15.04333333,8.406091371
55.533476,37.120431,12/9/16,1,0.0,307,5.04,7.6,6.1,0.0,0.0,0.0,0.0,0.0,0.077046154,0.029902564,0.0,0.0,0.019417949,31.8082,54.1016,23.6479,0.0,0.0901,399,93.29949239,17.98477157,21.815,2.248730964
55.513897,37.165245,12/9/16,1,0.0,365,5.99,7.6,6.5,0.0,0.0,0.0,0.0,0.006676923,0.060553846,0.004035897,0.0,0.0,0.17791025600000002,41.8282,13.5048,18.7737,0.1517,0.3777,386,93.55329949,21.70558376,11.90166667,1.5634517769999998
55.596828,37.175383,12/13/16,1,0.28,357,5.86,7.2,9.1,0.0,0.0,0.0,0.0,0.010282051,0.196666667,0.033094872000000004,0.0031025640000000004,0.0,0.150148718,57.8845,350.284,3.2503,0.0,0.0,889,142.4873096,24.41116751,123.0,9.431472081
